amfi_code,cagr_1yr,cagr_3yr,scheme_name
100016,-0.02224270997710287,0.01292649342495622,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.03704968580461343,0.039163899571040384,HDFC Short Term Debt Fund - Regular - Growth
100033,0.5323239623092084,0.32442459421956116,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.4792412023860102,0.2896769452874166,ABSL Frontline Equity Fund - Regular - Growth
101207,-0.23986031710270628,-0.04152381044854481,ABSL Small Cap Fund - Regular - Growth
101208,0.0723664530138024,0.06315784491375509,ABSL Liquid Fund - Regular - Growth
102885,0.20207703983094838,0.1966726206830185,UTI Nifty 50 Index Fund - Regular - Growth
102886,-0.16797480944407306,-0.007674063178547241,UTI Mid Cap Fund - Regular - Growth
102887,0.135831349444816,0.25556187904126526,UTI Flexi Cap Fund - Regular - Growth
118632,0.339810484550213,0.22652359830098634,Nippon India Large Cap Fund - Regular - Growth
118633,0.25539980483954094,0.2108997654925684,Nippon India Large Cap Fund - Direct - Growth
118634,0.15811221971300937,0.08007927728656083,Nippon India Small Cap Fund - Regular - Growth
118635,0.22493224932249345,0.20008208380471482,Nippon India ETF Nifty 50 BeES
118636,0.10454939683040276,0.040622050237771434,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.016091186722522632,0.005258871209757432,Axis Bluechip Fund - Regular - Growth
119093,0.197667410165155,0.20816771175535864,Axis Bluechip Fund - Direct - Growth
119094,0.22261065131342206,0.35111802096428524,Axis Midcap Fund - Regular - Growth
119095,-0.427976145588544,-0.11705806723995271,Axis Small Cap Fund - Regular - Growth
119120,0.055219955107626895,0.05840358798463097,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.6043734071403091,0.3045652442030289,SBI Bluechip Fund - Regular Plan - Growth
119552,0.05706100044974027,0.16267372294624916,SBI Bluechip Fund - Direct Plan - Growth
119598,0.8277605861507404,0.2666992200118774,SBI Small Cap Fund - Regular Plan - Growth
119599,0.1394780335518997,-0.01337386614488112,SBI Small Cap Fund - Direct Plan - Growth
120503,0.08489081269294418,0.13978381933703043,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.13064279264417977,0.3248742855621496,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.29604659337893646,0.317775371512347,ICICI Pru Midcap Fund - Regular - Growth
120506,0.4181904829701364,0.1842199653744454,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.0742505077613469,0.07394286300360076,ICICI Pru Liquid Fund - Regular - Growth
120841,0.16837098075385626,0.1726727508371786,Kotak Bluechip Fund - Regular - Growth
120842,0.2250195657587366,0.07756003551327284,Kotak Emerging Equity Fund - Regular - Growth
120843,0.26657081760850154,0.2958277033726251,Kotak Flexicap Fund - Regular - Growth
120844,0.07120323042122512,0.06695971624586994,Kotak Liquid Fund - Regular - Growth
125497,0.2867535802656873,0.18434488610520172,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.15443720834451846,0.11245222866621418,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.20360678307711866,0.3400091602163293,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.14269394138778924,0.14748035533586012,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.3975176148971702,0.2917890157839378,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.1811115252275146,0.18044206486636138,DSP Top 100 Equity Fund - Regular - Growth
149323,0.21481222193726257,0.268699908289022,DSP Midcap Fund - Regular - Growth
149324,0.6513871892998797,0.27000426614519246,DSP Small Cap Fund - Regular - Growth
